Estas personas no formaron parejas por ser menores de 10 años
ELIAS ROJAS, 9, M, A, SAN PABLO
APOLONIO PEREZ, 90, M, N, ESCAZU
MARIA FONSECA, 21, F, N, GOICOECHEA
CASIMIRO CARVAJAL, 53, M, N, POCOCI
ZOBEIDA NASSAR, 71, F, N, CENTRAL
EDWIN MUï¿½OZ, 66, M, N, VENEZUELA
ARNOLDO SANDOVAL, 89, M, N, ESCAZU
NELLY SANDI, 84, F, N, TIBAS
EMERITA CORDERO, 68, F, N, PURISCAL
JOSE JOAQUIN RODRIGUEZ, 20, M, N, POCOCI
MARIA ISABEL RUILOVA, 77, F, N, CENTRAL
JOSE HIDALGO, 79, M, N, PEREZ ZELEDON
CARLOS RAMON GUZMAN, 56, M, N, GARABITO
ELSA DELGADO, 75, F, N, DESAMPARADOS
VIRGINIA OCONITRILLO, 29, F, N, GOICOECHEA
JUAN SERRANO, 58, M, N, OSA
AMADA CHINCHILLA, 39, F, N, GOICOECHEA
CLAUDIA ACUï¿½A, 48, F, N, SANTA ANA
ELISA EMMA QUESADA, 55, F, N, GARABITO
BLANCA ROSA VARGAS, 32, F, N, ESCAZU
NOE PICADO, 15, M, N, TARRAZU
MARIA MENDEZ, 90, F, N, MONTES DE OCA
ISAC FERNANDEZ, 65, M, N, PEREZ ZELEDON
CARMEN ORTIZ, 18, F, N, MORAVIA
CARMEN RODRIGUEZ, 30, F, N, MORA
FRANCISCA VEGA, 34, F, N, MONTES DE OCA
ZORAIDA ARIAS, 27, F, N, ESCAZU
FLORA COTO, 24, F, N, LA UNION
SILVIO PEREZ, 59, M, N, MORA
FRANCISCA MARIN, 59, F, N, VAZQUEZ DE CORONADO
BRIGIDA VALVERDE, 42, F, N, TARRAZU
RAFAEL BEJARANO, 66, M, N, ASERRI
AIDA FALLAS, 50, F, N, CENTRAL
CARMEN SOSA, 17, F, N, ESCAZU
ESTEBAN PRADO, 59, M, N, ASERRI
JUAN MARIA MORA, 70, M, N, CENTRAL
MARIA CRISTINA CASTILLO, 20, F, N, CENTRAL
ROSA CASTELLON, 25, F, N, CENTRAL
VIRGINIA CALDERON, 44, F, N, ESCAZU
JOSE VINDAS, 31, M, N, TIBAS
JUAN PEDRO RIOS, 79, M, N, ABANGARES
ESTEBAN RODRIGUEZ, 22, M, N, ESCAZU
OTILIA ROBLES, 12, F, N, SANTA ANA
YOLANDA MURILLO, 14, F, N, TIBAS
NIDIA UJUETA, 12, F, N, CENTRAL
BERTA MADRIGAL, 44, F, N, DESAMPARADOS
BLANCA MORA, 76, F, N, DESAMPARADOS
ANGELINA ARIAS, 56, F, N, CURRIDABAT
FLORA CASTRO, 22, F, N, CENTRAL
JENNY RUIZ, 68, F, N, CENTRAL
TELMA VALVERDE, 85, F, N, PARRITA
GUILLERMO DOBLES, 29, M, N, CENTRAL
FLORA RETANA, 21, F, N, CENTRAL
FRANCISCA MORALES, 39, F, N, CENTRAL
ARCELIA HERNANDEZ, 72, F, N, CENTRAL
LASTENIA MESEN, 46, F, N, LA UNION
HAYDEE ZAMORA, 43, F, N, CENTRAL
MARIA SOLIS, 62, F, N, MORAVIA
CARMELINA CORDERO, 46, F, N, EL GUARCO
MARIA DEL CARMEN FONSECA, 62, F, N, SAN CARLOS
EMILIA GLORIA GARCIA, 87, F, N, CENTRAL
BETTY CHAVES, 82, F, N, SAN ISIDRO
MARIA LUISA CHAVARRIA, 84, F, N, GOICOECHEA
JUAN CARLOS MORA, 73, M, N, SAN CARLOS
MENCIA SOLIS, 24, F, N, GOICOECHEA
JUAN BONILLA, 11, M, N, PEREZ ZELEDON
SILVIA ESQUIVEL, 57, F, N, DESAMPARADOS
RAMON CESPEDES, 78, M, N, MORA
DORA ZAMORA, 48, F, N, MORAVIA
COSME NUï¿½EZ, 78, M, N, SAN MATEO
MARIA LUISA RODRIGUEZ, 55, F, N, SANTO DOMINGO
MARIA CECILIA RODRIGUEZ, 59, F, N, SANTO DOMINGO
AMALIA DIAZ, 63, F, N, CURRIDABAT
TRINIDAD ARIAS, 25, M, N, LEON CORTES CASTRO
RODRIGO MORA, 68, M, N, GOICOECHEA
FULVIO ANGEL SOTO, 36, M, N, CENTRAL
ZELMIRA SANDOVAL, 66, F, N, CENTRAL
AZIADEE ESTRADA, 48, F, N, CENTRAL
ESTRELLA CHINCHILLA, 63, F, N, CENTRAL
MARTA CORDERO, 46, F, N, TIBAS
NINFA ALVARADO, 44, F, N, SAN CARLOS
EDGAR ESQUIVEL, 81, M, N, MORAVIA
JUAN RAFAEL RAMIREZ, 86, M, N, ALAJUELITA
BENIGNO ABARCA, 76, M, N, LA UNION
WALLACE STANLEY SCHUMACHER, 36, M, N, GOICOECHEA
JOSEFA MONTERO, 57, F, N, CENTRAL
EMMANUEL HERNANDEZ, 64, M, N, QUEPOS
OLGA RODRIGUEZ, 72, F, N, CENTRAL
MARIA RODRIGUEZ, 58, F, N, CENTRAL
ABDON PEREZ, 83, M, N, LA UNION
ARIEL CARDENAS, 39, M, N, MATINA
ALICIA CAMPOS, 41, F, N, TURRIALBA
FERNANDO MATA, 51, M, N, DOTA
RAFAEL CORRALES, 35, M, N, ASERRI
JULIO SEGURA, 37, M, N, ACOSTA
ELIDA MONGE, 24, F, N, CENTRAL
INES FUENTES, 75, F, N, CURRIDABAT
CARLOMAGNO JIMENEZ, 19, M, N, PURISCAL
ROSARIO QUESADA, 14, F, N, MORAVIA
RAFAEL ANGEL BRENES, 48, M, N, CENTRAL
ADELIA GAMBOA, 44, F, N, PEREZ ZELEDON
MARCO TULIO SOLIS, 67, M, N, TIBAS
ISABEL MENDEZ, 79, F, N, LA UNION
DAISY ZUï¿½IGA, 61, F, N, PEREZ ZELEDON
DULCELINA HIDALGO, 35, F, N, DESAMPARADOS
OSVALDO HIDALGO, 76, M, N, ACOSTA
TRINIDAD SABORIO, 67, F, N, GOICOECHEA
WILLY CASTRO, 61, M, N, CENTRAL
ANTONIA BADILLA, 63, F, N, CENTRAL
JUAN ANTONIO SALAZAR, 88, M, N, VAZQUEZ DE CORONADO
ESPIRITU MARIN, 55, M, N, PEREZ ZELEDON
ESTERLINA ZUï¿½IGA, 89, F, N, CENTRAL
CRISPIN CHINCHILLA, 45, M, N, GUACIMO
ARTURO ARAYA, 13, M, N, CENTRAL
HEBER QUIROS, 45, M, N, PURISCAL
ISMELDA JIMENEZ, 84, F, N, TIBAS
JUANA MORA, 88, F, N, DOTA
MIRIAM FAITH, 18, F, N, MONTES DE OCA
JOSEFINA HERRERA, 63, F, N, ESCAZU
MANUEL DELGADO, 66, M, N, PURISCAL
MARIA SALAS, 42, F, N, ATENAS
ISABEL VEGA, 73, F, N, GOICOECHEA
ADINA CARPIO, 12, F, N, DESAMPARADOS
CLAUDIA MANUELA ESPINOZA, 38, F, N, CENTRAL
MARINA QUIROS, 76, F, N, ALAJUELITA
LUCILA PORRAS, 26, F, N, PURISCAL
ABDENAGO MATA, 41, M, N, PEREZ ZELEDON
DORA DURAN, 29, F, N, MORAVIA
CELERINO MONTES, 77, M, N, ALAJUELITA
FABIO ACUï¿½A, 53, M, N, SANTA ANA
CABIRIA MORGAN, 43, F, N, CENTRAL
ROSA CRUZ, 62, F, N, PEREZ ZELEDON
GUILLERMINA MORALES, 14, F, N, CENTRAL
JOSE LUIS VARGAS, 64, M, N, POCOCI
TARCILA MORA, 52, F, N, DESAMPARADOS
CARMEN SOLANO, 70, M, N, POCOCI
ROGELIO MARIN, 16, M, N, TIBAS
BETTINA MONGE, 70, F, N, DESAMPARADOS
ANA MARIA PEREZ, 35, F, N, MEXICO
FLORIPES FIGUEROA, 17, F, N, CENTRAL
MARIA JOSEFA CARVAJAL, 59, F, N, CENTRAL
LUZMIRA CHINCHILLA, 18, F, N, CENTRAL
VIRGINIA ACUï¿½A, 36, F, N, SAN PABLO
CLAUDIO RODRIGUEZ, 76, M, N, VAZQUEZ DE CORONADO
MARIA ROSA ORTEGA, 36, F, N, ASERRI
MARIA DE LOS ANGELES ESQUIVEL, 52, F, N, NICOYA
CARLOS LUIS ARIAS, 38, M, N, DESAMPARADOS
GERMAN CARVAJAL, 74, M, N, DESAMPARADOS
MARIA ANGELA FALLAS, 18, F, N, DESAMPARADOS
VIRGINIA ARAYA, 52, F, N, GOICOECHEA
ENRIQUE BRENES, 34, M, N, MORAVIA
BLANCA ROSA ASI, 74, F, N, CENTRAL
HERNAN MURILLO, 42, M, N, MONTES DE OCA
POMPILIO DIAZ, 87, M, N, ESCAZU
MARIA SANDI, 38, F, N, CENTRAL
MARIA IGNACIA MORA, 29, F, N, LA UNION
MARIA GLORIA DELGADO, 28, F, N, GOICOECHEA
MARIA AUDILIA DURAN, 17, F, N, CENTRAL
RAMON RIOS, 60, M, N, CENTRAL
JOSE CISNEROS, 14, M, N, GRECIA
ANTONIO MARIO RODRIGUEZ, 17, M, N, CENTRAL
JULIA MORA, 44, F, N, NARANJO
DAISY DIAZ, 39, F, N, ASERRI
GRACIANO CHAVARRIA, 35, M, N, MORAVIA
JENARINA VILLALTA, 47, F, N, MONTES DE OCA
YANINA ELISABETH CLAUSEN, 43, F, N, CENTRAL
LUIS CARLOS BLANCO, 76, M, N, CENTRAL
JULIETA CASTRO, 17, F, N, CENTRAL
HAYDEE JIMENEZ, 20, F, N, CENTRAL
ISAIAS ARCE, 80, M, N, TIBAS
MARIA TERESA PORRAS, 85, F, N, TIBAS
ISABEL MURILLO, 77, F, N, DESAMPARADOS
DORILA CRUZ, 29, F, N, GOICOECHEA
EDWIN RAMON ZUï¿½IGA, 65, M, N, CENTRAL
JULIETA ZELEDON, 36, F, N, MONTES DE OCA
EDWIN MONTERO, 33, M, N, TIBAS
MARIA DEL ROSARIO ULLOA, 41, F, N, ESCAZU
ALICIA ARTAVIA, 31, F, N, CURRIDABAT
HAYDEE AGUERO, 71, F, N, SANTA ANA
ADA MARIA CHACON, 89, F, N, VAZQUEZ DE CORONADO
JUAN JOSE SOLIS, 71, M, N, PEREZ ZELEDON
HORTENSIA BOLAï¿½OS, 86, F, N, OSA
HORTENSIA RODRIGUEZ, 26, F, N, CENTRAL
ADELA MONTERO, 27, F, N, MORAVIA
CARMELINA JARA, 29, F, N, LA UNION
RAFAEL CERDAS, 67, M, N, OSA
DIGNA ZUï¿½IGA, 26, F, N, GOICOECHEA
EMERITA MORA, 71, F, N, ALAJUELITA
DORA ROJAS, 36, F, N, MORAVIA
FULGENCIO MORALES, 43, M, N, PURISCAL
JESUS CASTRO, 31, M, N, ESCAZU
MARIA DE LAS MERCEDES SANCHO, 34, F, N, CENTRAL
MARIA BARRANTES, 53, F, N, CENTRAL
ROSA CARVAJAL, 34, F, N, DESAMPARADOS
EVA SOLIS, 25, F, N, MORA
BLANCA MEZA, 42, F, N, DESAMPARADOS
MARIA EUGENIA HERRERA, 35, F, N, CENTRAL
SANTIAGO CALDERON, 51, M, N, CENTRAL
MARIO VARGAS, 18, M, N, CENTRAL
LUIS FERNANDEZ, 16, M, N, ESCAZU
BERTA ROMANINI, 26, F, N, LA UNION
ELIDA JIMENEZ, 88, F, N, PARAISO
EMILIA FERNANDEZ, 51, F, N, MORA
MATILDE MOLINA, 85, F, N, CENTRAL
ERNA ARGENTINA BOLAï¿½OS, 22, F, N, MORAVIA
ROSA AZOFEIFA, 50, F, N, GUACIMO
ANTONIO DELGADO, 89, M, N, CENTRAL
MARGARITA GONZALEZ, 23, F, N, SANTO DOMINGO
FLORA MONTERO, 46, F, N, MONTES DE OCA
BASILIO ZAMORA, 47, M, N, ESCAZU
VICTOR ROJAS, 77, M, N, MORA
APOLONIO PEREZ, 90, M, N, ESCAZU
MARIA FONSECA, 21, F, N, GOICOECHEA
CASIMIRO CARVAJAL, 53, M, N, POCOCI
ZOBEIDA NASSAR, 71, F, N, CENTRAL
EDWIN MUï¿½OZ, 66, M, N, VENEZUELA
ARNOLDO SANDOVAL, 89, M, N, ESCAZU
NELLY SANDI, 84, F, N, TIBAS
EMERITA CORDERO, 68, F, N, PURISCAL
JOSE JOAQUIN RODRIGUEZ, 20, M, N, POCOCI
MARIA ISABEL RUILOVA, 77, F, N, CENTRAL
JOSE HIDALGO, 79, M, N, PEREZ ZELEDON
CARLOS RAMON GUZMAN, 56, M, N, GARABITO
ELSA DELGADO, 75, F, N, DESAMPARADOS
VIRGINIA OCONITRILLO, 29, F, N, GOICOECHEA
JUAN SERRANO, 58, M, N, OSA
AMADA CHINCHILLA, 39, F, N, GOICOECHEA
CLAUDIA ACUï¿½A, 48, F, N, SANTA ANA
ELISA EMMA QUESADA, 55, F, N, GARABITO
BLANCA ROSA VARGAS, 32, F, N, ESCAZU
NOE PICADO, 15, M, N, TARRAZU
MARIA MENDEZ, 90, F, N, MONTES DE OCA
ISAC FERNANDEZ, 65, M, N, PEREZ ZELEDON
CARMEN ORTIZ, 18, F, N, MORAVIA
CARMEN RODRIGUEZ, 30, F, N, MORA
FRANCISCA VEGA, 34, F, N, MONTES DE OCA
ZORAIDA ARIAS, 27, F, N, ESCAZU
FLORA COTO, 24, F, N, LA UNION
SILVIO PEREZ, 59, M, N, MORA
FRANCISCA MARIN, 59, F, N, VAZQUEZ DE CORONADO
BRIGIDA VALVERDE, 42, F, N, TARRAZU
RAFAEL BEJARANO, 66, M, N, ASERRI
AIDA FALLAS, 50, F, N, CENTRAL
CARMEN SOSA, 17, F, N, ESCAZU
ESTEBAN PRADO, 59, M, N, ASERRI
JUAN MARIA MORA, 70, M, N, CENTRAL
MARIA CRISTINA CASTILLO, 20, F, N, CENTRAL
ROSA CASTELLON, 25, F, N, CENTRAL
VIRGINIA CALDERON, 44, F, N, ESCAZU
JOSE VINDAS, 31, M, N, TIBAS
JUAN PEDRO RIOS, 79, M, N, ABANGARES
ESTEBAN RODRIGUEZ, 22, M, N, ESCAZU
OTILIA ROBLES, 12, F, N, SANTA ANA
YOLANDA MURILLO, 14, F, N, TIBAS
NIDIA UJUETA, 12, F, N, CENTRAL
BERTA MADRIGAL, 44, F, N, DESAMPARADOS
BLANCA MORA, 76, F, N, DESAMPARADOS
ANGELINA ARIAS, 56, F, N, CURRIDABAT
FLORA CASTRO, 22, F, N, CENTRAL
JENNY RUIZ, 68, F, N, CENTRAL
TELMA VALVERDE, 85, F, N, PARRITA
GUILLERMO DOBLES, 29, M, N, CENTRAL
FLORA RETANA, 21, F, N, CENTRAL
FRANCISCA MORALES, 39, F, N, CENTRAL
ARCELIA HERNANDEZ, 72, F, N, CENTRAL
LASTENIA MESEN, 46, F, N, LA UNION
HAYDEE ZAMORA, 43, F, N, CENTRAL
MARIA SOLIS, 62, F, N, MORAVIA
CARMELINA CORDERO, 46, F, N, EL GUARCO
MARIA DEL CARMEN FONSECA, 62, F, N, SAN CARLOS
EMILIA GLORIA GARCIA, 87, F, N, CENTRAL
BETTY CHAVES, 82, F, N, SAN ISIDRO
MARIA LUISA CHAVARRIA, 84, F, N, GOICOECHEA
JUAN CARLOS MORA, 73, M, N, SAN CARLOS
MENCIA SOLIS, 24, F, N, GOICOECHEA
JUAN BONILLA, 11, M, N, PEREZ ZELEDON
SILVIA ESQUIVEL, 57, F, N, DESAMPARADOS
RAMON CESPEDES, 78, M, N, MORA
DORA ZAMORA, 48, F, N, MORAVIA
COSME NUï¿½EZ, 78, M, N, SAN MATEO
MARIA LUISA RODRIGUEZ, 55, F, N, SANTO DOMINGO
MARIA CECILIA RODRIGUEZ, 59, F, N, SANTO DOMINGO
AMALIA DIAZ, 63, F, N, CURRIDABAT
TRINIDAD ARIAS, 25, M, N, LEON CORTES CASTRO
RODRIGO MORA, 68, M, N, GOICOECHEA
FULVIO ANGEL SOTO, 36, M, N, CENTRAL
ZELMIRA SANDOVAL, 66, F, N, CENTRAL
AZIADEE ESTRADA, 48, F, N, CENTRAL
ESTRELLA CHINCHILLA, 63, F, N, CENTRAL
MARTA CORDERO, 46, F, N, TIBAS
NINFA ALVARADO, 44, F, N, SAN CARLOS
EDGAR ESQUIVEL, 81, M, N, MORAVIA
JUAN RAFAEL RAMIREZ, 86, M, N, ALAJUELITA
BENIGNO ABARCA, 76, M, N, LA UNION
WALLACE STANLEY SCHUMACHER, 36, M, N, GOICOECHEA
JOSEFA MONTERO, 57, F, N, CENTRAL
EMMANUEL HERNANDEZ, 64, M, N, QUEPOS
OLGA RODRIGUEZ, 72, F, N, CENTRAL
MARIA RODRIGUEZ, 58, F, N, CENTRAL
ABDON PEREZ, 83, M, N, LA UNION
ARIEL CARDENAS, 39, M, N, MATINA
ALICIA CAMPOS, 41, F, N, TURRIALBA
FERNANDO MATA, 51, M, N, DOTA
RAFAEL CORRALES, 35, M, N, ASERRI
JULIO SEGURA, 37, M, N, ACOSTA
ELIDA MONGE, 24, F, N, CENTRAL
INES FUENTES, 75, F, N, CURRIDABAT
CARLOMAGNO JIMENEZ, 19, M, N, PURISCAL
ROSARIO QUESADA, 14, F, N, MORAVIA
RAFAEL ANGEL BRENES, 48, M, N, CENTRAL
ADELIA GAMBOA, 44, F, N, PEREZ ZELEDON
MARCO TULIO SOLIS, 67, M, N, TIBAS
ISABEL MENDEZ, 79, F, N, LA UNION
DAISY ZUï¿½IGA, 61, F, N, PEREZ ZELEDON
DULCELINA HIDALGO, 35, F, N, DESAMPARADOS
OSVALDO HIDALGO, 76, M, N, ACOSTA
TRINIDAD SABORIO, 67, F, N, GOICOECHEA
WILLY CASTRO, 61, M, N, CENTRAL
ANTONIA BADILLA, 63, F, N, CENTRAL
JUAN ANTONIO SALAZAR, 88, M, N, VAZQUEZ DE CORONADO
ESPIRITU MARIN, 55, M, N, PEREZ ZELEDON
ESTERLINA ZUï¿½IGA, 89, F, N, CENTRAL
CRISPIN CHINCHILLA, 45, M, N, GUACIMO
ARTURO ARAYA, 13, M, N, CENTRAL
HEBER QUIROS, 45, M, N, PURISCAL
ISMELDA JIMENEZ, 84, F, N, TIBAS
JUANA MORA, 88, F, N, DOTA
MIRIAM FAITH, 18, F, N, MONTES DE OCA
JOSEFINA HERRERA, 63, F, N, ESCAZU
MANUEL DELGADO, 66, M, N, PURISCAL
MARIA SALAS, 42, F, N, ATENAS
ISABEL VEGA, 73, F, N, GOICOECHEA
ADINA CARPIO, 12, F, N, DESAMPARADOS
CLAUDIA MANUELA ESPINOZA, 38, F, N, CENTRAL
MARINA QUIROS, 76, F, N, ALAJUELITA
LUCILA PORRAS, 26, F, N, PURISCAL
ABDENAGO MATA, 41, M, N, PEREZ ZELEDON
DORA DURAN, 29, F, N, MORAVIA
CELERINO MONTES, 77, M, N, ALAJUELITA
FABIO ACUï¿½A, 53, M, N, SANTA ANA
CABIRIA MORGAN, 43, F, N, CENTRAL
ROSA CRUZ, 62, F, N, PEREZ ZELEDON
GUILLERMINA MORALES, 14, F, N, CENTRAL
JOSE LUIS VARGAS, 64, M, N, POCOCI
TARCILA MORA, 52, F, N, DESAMPARADOS
CARMEN SOLANO, 70, M, N, POCOCI
ROGELIO MARIN, 16, M, N, TIBAS
BETTINA MONGE, 70, F, N, DESAMPARADOS
ANA MARIA PEREZ, 35, F, N, MEXICO
FLORIPES FIGUEROA, 17, F, N, CENTRAL
MARIA JOSEFA CARVAJAL, 59, F, N, CENTRAL
LUZMIRA CHINCHILLA, 18, F, N, CENTRAL
VIRGINIA ACUï¿½A, 36, F, N, SAN PABLO
CLAUDIO RODRIGUEZ, 76, M, N, VAZQUEZ DE CORONADO
MARIA ROSA ORTEGA, 36, F, N, ASERRI
MARIA DE LOS ANGELES ESQUIVEL, 52, F, N, NICOYA
CARLOS LUIS ARIAS, 38, M, N, DESAMPARADOS
GERMAN CARVAJAL, 74, M, N, DESAMPARADOS
MARIA ANGELA FALLAS, 18, F, N, DESAMPARADOS
VIRGINIA ARAYA, 52, F, N, GOICOECHEA
ENRIQUE BRENES, 34, M, N, MORAVIA
BLANCA ROSA ASI, 74, F, N, CENTRAL
HERNAN MURILLO, 42, M, N, MONTES DE OCA
POMPILIO DIAZ, 87, M, N, ESCAZU
MARIA SANDI, 38, F, N, CENTRAL
MARIA IGNACIA MORA, 29, F, N, LA UNION
MARIA GLORIA DELGADO, 28, F, N, GOICOECHEA
MARIA AUDILIA DURAN, 17, F, N, CENTRAL
RAMON RIOS, 60, M, N, CENTRAL
JOSE CISNEROS, 14, M, N, GRECIA
ANTONIO MARIO RODRIGUEZ, 17, M, N, CENTRAL
JULIA MORA, 44, F, N, NARANJO
DAISY DIAZ, 39, F, N, ASERRI
GRACIANO CHAVARRIA, 35, M, N, MORAVIA
JENARINA VILLALTA, 47, F, N, MONTES DE OCA
YANINA ELISABETH CLAUSEN, 43, F, N, CENTRAL
LUIS CARLOS BLANCO, 76, M, N, CENTRAL
JULIETA CASTRO, 17, F, N, CENTRAL
HAYDEE JIMENEZ, 20, F, N, CENTRAL
ISAIAS ARCE, 80, M, N, TIBAS
MARIA TERESA PORRAS, 85, F, N, TIBAS
ISABEL MURILLO, 77, F, N, DESAMPARADOS
DORILA CRUZ, 29, F, N, GOICOECHEA
EDWIN RAMON ZUï¿½IGA, 65, M, N, CENTRAL
JULIETA ZELEDON, 36, F, N, MONTES DE OCA
EDWIN MONTERO, 33, M, N, TIBAS
MARIA DEL ROSARIO ULLOA, 41, F, N, ESCAZU
ALICIA ARTAVIA, 31, F, N, CURRIDABAT
HAYDEE AGUERO, 71, F, N, SANTA ANA
ADA MARIA CHACON, 89, F, N, VAZQUEZ DE CORONADO
JUAN JOSE SOLIS, 71, M, N, PEREZ ZELEDON
HORTENSIA BOLAï¿½OS, 86, F, N, OSA
HORTENSIA RODRIGUEZ, 26, F, N, CENTRAL
ADELA MONTERO, 27, F, N, MORAVIA
CARMELINA JARA, 29, F, N, LA UNION
RAFAEL CERDAS, 67, M, N, OSA
DIGNA ZUï¿½IGA, 26, F, N, GOICOECHEA
EMERITA MORA, 71, F, N, ALAJUELITA
DORA ROJAS, 36, F, N, MORAVIA
FULGENCIO MORALES, 43, M, N, PURISCAL
JESUS CASTRO, 31, M, N, ESCAZU
MARIA DE LAS MERCEDES SANCHO, 34, F, N, CENTRAL
MARIA BARRANTES, 53, F, N, CENTRAL
ROSA CARVAJAL, 34, F, N, DESAMPARADOS
EVA SOLIS, 25, F, N, MORA
BLANCA MEZA, 42, F, N, DESAMPARADOS
MARIA EUGENIA HERRERA, 35, F, N, CENTRAL
SANTIAGO CALDERON, 51, M, N, CENTRAL
MARIO VARGAS, 18, M, N, CENTRAL
LUIS FERNANDEZ, 16, M, N, ESCAZU
BERTA ROMANINI, 26, F, N, LA UNION
ELIDA JIMENEZ, 88, F, N, PARAISO
EMILIA FERNANDEZ, 51, F, N, MORA
MATILDE MOLINA, 85, F, N, CENTRAL
ERNA ARGENTINA BOLAï¿½OS, 22, F, N, MORAVIA
ROSA AZOFEIFA, 50, F, N, GUACIMO
ANTONIO DELGADO, 89, M, N, CENTRAL
MARGARITA GONZALEZ, 23, F, N, SANTO DOMINGO
FLORA MONTERO, 46, F, N, MONTES DE OCA
BASILIO ZAMORA, 47, M, N, ESCAZU
VICTOR ROJAS, 77, M, N, MORA
APOLONIO PEREZ, 90, M, N, ESCAZU
MARIA FONSECA, 21, F, N, GOICOECHEA
CASIMIRO CARVAJAL, 53, M, N, POCOCI
ZOBEIDA NASSAR, 71, F, N, CENTRAL
EDWIN MUï¿½OZ, 66, M, N, VENEZUELA
ARNOLDO SANDOVAL, 89, M, N, ESCAZU
NELLY SANDI, 84, F, N, TIBAS
EMERITA CORDERO, 68, F, N, PURISCAL
JOSE JOAQUIN RODRIGUEZ, 20, M, N, POCOCI
MARIA ISABEL RUILOVA, 77, F, N, CENTRAL
JOSE HIDALGO, 79, M, N, PEREZ ZELEDON
CARLOS RAMON GUZMAN, 56, M, N, GARABITO
ELSA DELGADO, 75, F, N, DESAMPARADOS
VIRGINIA OCONITRILLO, 29, F, N, GOICOECHEA
JUAN SERRANO, 58, M, N, OSA
AMADA CHINCHILLA, 39, F, N, GOICOECHEA
CLAUDIA ACUï¿½A, 48, F, N, SANTA ANA
ELISA EMMA QUESADA, 55, F, N, GARABITO
BLANCA ROSA VARGAS, 32, F, N, ESCAZU
NOE PICADO, 15, M, N, TARRAZU
MARIA MENDEZ, 90, F, N, MONTES DE OCA
ISAC FERNANDEZ, 65, M, N, PEREZ ZELEDON
CARMEN ORTIZ, 18, F, N, MORAVIA
CARMEN RODRIGUEZ, 30, F, N, MORA
FRANCISCA VEGA, 34, F, N, MONTES DE OCA
ZORAIDA ARIAS, 27, F, N, ESCAZU
FLORA COTO, 24, F, N, LA UNION
SILVIO PEREZ, 59, M, N, MORA
FRANCISCA MARIN, 59, F, N, VAZQUEZ DE CORONADO
BRIGIDA VALVERDE, 42, F, N, TARRAZU
RAFAEL BEJARANO, 66, M, N, ASERRI
AIDA FALLAS, 50, F, N, CENTRAL
CARMEN SOSA, 17, F, N, ESCAZU
ESTEBAN PRADO, 59, M, N, ASERRI
JUAN MARIA MORA, 70, M, N, CENTRAL
MARIA CRISTINA CASTILLO, 20, F, N, CENTRAL
ROSA CASTELLON, 25, F, N, CENTRAL
VIRGINIA CALDERON, 44, F, N, ESCAZU
JOSE VINDAS, 31, M, N, TIBAS
JUAN PEDRO RIOS, 79, M, N, ABANGARES
ESTEBAN RODRIGUEZ, 22, M, N, ESCAZU
OTILIA ROBLES, 12, F, N, SANTA ANA
YOLANDA MURILLO, 14, F, N, TIBAS
NIDIA UJUETA, 12, F, N, CENTRAL
BERTA MADRIGAL, 44, F, N, DESAMPARADOS
BLANCA MORA, 76, F, N, DESAMPARADOS
ANGELINA ARIAS, 56, F, N, CURRIDABAT
FLORA CASTRO, 22, F, N, CENTRAL
JENNY RUIZ, 68, F, N, CENTRAL
TELMA VALVERDE, 85, F, N, PARRITA
GUILLERMO DOBLES, 29, M, N, CENTRAL
FLORA RETANA, 21, F, N, CENTRAL
FRANCISCA MORALES, 39, F, N, CENTRAL
ARCELIA HERNANDEZ, 72, F, N, CENTRAL
LASTENIA MESEN, 46, F, N, LA UNION
HAYDEE ZAMORA, 43, F, N, CENTRAL
MARIA SOLIS, 62, F, N, MORAVIA
CARMELINA CORDERO, 46, F, N, EL GUARCO
MARIA DEL CARMEN FONSECA, 62, F, N, SAN CARLOS
EMILIA GLORIA GARCIA, 87, F, N, CENTRAL
BETTY CHAVES, 82, F, N, SAN ISIDRO
MARIA LUISA CHAVARRIA, 84, F, N, GOICOECHEA
JUAN CARLOS MORA, 73, M, N, SAN CARLOS
MENCIA SOLIS, 24, F, N, GOICOECHEA
JUAN BONILLA, 11, M, N, PEREZ ZELEDON
SILVIA ESQUIVEL, 57, F, N, DESAMPARADOS
RAMON CESPEDES, 78, M, N, MORA
DORA ZAMORA, 48, F, N, MORAVIA
COSME NUï¿½EZ, 78, M, N, SAN MATEO
MARIA LUISA RODRIGUEZ, 55, F, N, SANTO DOMINGO
MARIA CECILIA RODRIGUEZ, 59, F, N, SANTO DOMINGO
AMALIA DIAZ, 63, F, N, CURRIDABAT
TRINIDAD ARIAS, 25, M, N, LEON CORTES CASTRO
RODRIGO MORA, 68, M, N, GOICOECHEA
FULVIO ANGEL SOTO, 36, M, N, CENTRAL
ZELMIRA SANDOVAL, 66, F, N, CENTRAL
AZIADEE ESTRADA, 48, F, N, CENTRAL
ESTRELLA CHINCHILLA, 63, F, N, CENTRAL
MARTA CORDERO, 46, F, N, TIBAS
NINFA ALVARADO, 44, F, N, SAN CARLOS
EDGAR ESQUIVEL, 81, M, N, MORAVIA
JUAN RAFAEL RAMIREZ, 86, M, N, ALAJUELITA
BENIGNO ABARCA, 76, M, N, LA UNION
WALLACE STANLEY SCHUMACHER, 36, M, N, GOICOECHEA
JOSEFA MONTERO, 57, F, N, CENTRAL
EMMANUEL HERNANDEZ, 64, M, N, QUEPOS
